=== LOG MONITORAGGIO RISORSE JARVIS ===
Timestamp           | CPU Processo (%) | RAM Usata (MB) | RAM (% di Sistema) | Thread Attivi
2026-07-20 23:49:47 | CPU:           2.00% | RAM:     740.38 MB | RAM Sys:         4.82% | Threads: 9
2026-07-20 23:49:48 | CPU:           2.00% | RAM:     740.41 MB | RAM Sys:         4.82% | Threads: 9
2026-07-20 23:49:49 | CPU:           2.00% | RAM:     740.44 MB | RAM Sys:         4.82% | Threads: 9
2026-07-20 23:49:50 | CPU:           1.00% | RAM:     740.47 MB | RAM Sys:         4.82% | Threads: 9
2026-07-20 23:49:51 | CPU:          48.90% | RAM:     742.07 MB | RAM Sys:         4.83% | Threads: 9
2026-07-20 23:49:52 | CPU:          15.00% | RAM:     741.93 MB | RAM Sys:         4.83% | Threads: 9
2026-07-20 23:49:53 | CPU:           4.00% | RAM:     741.93 MB | RAM Sys:         4.83% | Threads: 9
2026-07-20 23:49:54 | CPU:           4.00% | RAM:     741.93 MB | RAM Sys:         4.83% | Threads: 9
2026-07-20 23:49:55 | CPU:           1.00% | RAM:     741.93 MB | RAM Sys:         4.83% | Threads: 9
2026-07-20 23:49:56 | CPU:           1.00% | RAM:     741.93 MB | RAM Sys:         4.83% | Threads: 9
2026-07-20 23:49:57 | CPU:           1.00% | RAM:     741.94 MB | RAM Sys:         4.83% | Threads: 9
2026-07-20 23:49:58 | CPU:           1.00% | RAM:     741.94 MB | RAM Sys:         4.83% | Threads: 9
2026-07-20 23:49:59 | CPU:           1.00% | RAM:     741.94 MB | RAM Sys:         4.83% | Threads: 9
2026-07-20 23:50:00 | CPU:          19.00% | RAM:     742.18 MB | RAM Sys:         4.84% | Threads: 9
2026-07-20 23:50:01 | CPU:          13.00% | RAM:     742.68 MB | RAM Sys:         4.84% | Threads: 9
2026-07-20 23:50:02 | CPU:          13.00% | RAM:     743.11 MB | RAM Sys:         4.84% | Threads: 9
2026-07-20 23:50:03 | CPU:           8.00% | RAM:     743.07 MB | RAM Sys:         4.84% | Threads: 9
2026-07-20 23:50:04 | CPU:           4.00% | RAM:     743.07 MB | RAM Sys:         4.84% | Threads: 9
2026-07-20 23:50:05 | CPU:           4.00% | RAM:     743.07 MB | RAM Sys:         4.84% | Threads: 9
2026-07-20 23:50:06 | CPU:           5.00% | RAM:     743.36 MB | RAM Sys:         4.84% | Threads: 9
2026-07-20 23:50:07 | CPU:           4.00% | RAM:     743.88 MB | RAM Sys:         4.85% | Threads: 9
2026-07-20 23:50:08 | CPU:           5.00% | RAM:     744.43 MB | RAM Sys:         4.85% | Threads: 9
2026-07-20 23:50:09 | CPU:          13.00% | RAM:     745.54 MB | RAM Sys:         4.86% | Threads: 9
2026-07-20 23:50:10 | CPU:           7.00% | RAM:     745.54 MB | RAM Sys:         4.86% | Threads: 9
2026-07-20 23:50:11 | CPU:           7.00% | RAM:     745.54 MB | RAM Sys:         4.86% | Threads: 9
2026-07-20 23:50:12 | CPU:           9.00% | RAM:     745.54 MB | RAM Sys:         4.86% | Threads: 9
2026-07-20 23:50:13 | CPU:           8.00% | RAM:     745.54 MB | RAM Sys:         4.86% | Threads: 9
